City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Dikson,RU,2021-04-21 07:25:47,73.5069,80.5464,19.29,92,100,22.41
152,Anjiang,CN,2021-04-21 07:25:47,27.3194,110.1031,76.91,80,76,3.4
153,Carauari,BR,2021-04-21 07:25:48,-4.8828,-66.8958,71.26,99,100,1.19
154,Ixtapa,MX,2021-04-21 07:25:48,20.7,-105.2,73.0,74,15,2.84
155,Vila Franca Do Campo,PT,2021-04-21 07:25:49,37.7167,-25.4333,60.8,94,40,14.97
156,Ellensburg,US,2021-04-21 07:24:38,46.9965,-120.5479,45.0,49,1,4.34
157,Dodge City,US,2021-04-21 07:25:49,37.7528,-100.0171,32.0,74,1,8.05
158,Custodia,BR,2021-04-21 07:25:50,-8.0875,-37.6431,68.22,92,76,6.06
159,Staryy Nadym,RU,2021-04-21 07:25:50,65.6118,72.6842,26.65,85,83,13.15
160,Kristiinankaupunki,FI,2021-04-21 07:25:51,62.2743,21.376,44.6,54,5,10.33
161,Port Macquarie,AU,2021-04-21 07:25:51,-31.4333,152.9167,63.0,70,0,13.89
162,Cleveland,US,2021-04-21 07:21:48,41.4995,-81.6954,33.01,93,90,13.8
163,Dingle,PH,2021-04-21 07:25:52,10.9995,122.6711,90.52,51,100,13.94
164,Souillac,MU,2021-04-21 07:25:52,-20.5167,57.5167,82.4,74,75,11.5
165,Grand Gaube,MU,2021-04-21 07:25:53,-20.0064,57.6608,82.0,76,99,8.99
166,Kapaa,US,2021-04-21 07:24:28,22.0752,-159.319,73.4,88,90,5.75
167,Tahta,EG,2021-04-21 07:25:54,26.7693,31.5021,78.8,34,0,8.05
168,Vanavara,RU,2021-04-21 07:25:54,60.34,102.2797,25.66,62,100,5.14
169,Saint George,US,2021-04-21 07:21:02,37.1041,-113.5841,68.0,14,1,12.66
170,Pecos,US,2021-04-21 07:25:55,31.4229,-103.4932,46.4,46,1,11.5
171,Nouadhibou,MR,2021-04-21 07:25:55,20.931,-17.0347,62.6,82,0,16.11
172,Barkly West,ZA,2021-04-21 07:25:56,-28.5354,24.5215,64.4,48,0,8.05
